Sample,Sample Type,Lat,Lng,Elevation(masl),Thickness(cm),Density(g/cm3),Shielding,10Be-conc(at/g),10Be-unc(at/g),10Be-std,Sample Year,Published Age (yr),Published Unc (yr),Reference,Height (cm),Regions
97-113,bedrock,42.7275,-108.9033,2650,1,2.65,0.9792,507764,35469,NIST_27900,1997,15400,1000,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Northern Rockies
97-16,boulder,39.312,-120.702,1690,1,2.75,1,1190000,19000,NIST_30500,1997,61400,3900,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",NA,Sierra Nevada
97-17,boulder,39.31,-120.711,1680,2,2.75,0.999,1360000,17000,NIST_30500,1997,71100,4500,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",NA,Sierra Nevada
97-18,boulder,39.298,-120.709,1510,1,2.75,1,284000,6000,NIST_30500,1997,17900,1100,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",NA,Sierra Nevada
97-19,bedrock,39.298,-120.709,1510,1,2.75,1,1040000,11000,NIST_30500,1997,61300,3800,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Sierra Nevada
97-20,bedrock,39.293,-120.699,1450,2,2.75,0.998,764000,9000,NIST_30500,1997,47100,2900,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",NA,Sierra Nevada
97-21,boulder,39.271,-120.733,1430,2,2.75,0.998,725000,14000,NIST_30500,1997,45400,2900,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",NA,Sierra Nevada
97-22,boulder,39.298,-120.709,1550,1,2.75,0.999,330000,6000,NIST_30500,1997,20000,1300,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",NA,Sierra Nevada
97-31,bedrock,39.372,-120.509,1820,1,2.75,0.988,287000,11000,NIST_30500,1997,14800,1100,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Sierra Nevada
97-43,bedrock,42.7267,-108.8842,2530,1,2.65,0.5253,1834681,57785,NIST_27900,1997,83800,5200,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Northern Rockies
97-44,bedrock,42.7258,-108.8831,2500,5,2.65,0.9716,2390407,51876,NIST_27900,1997,81600,5100,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Northern Rockies
97-45,bedrock,42.7256,-108.8836,2480,1,2.65,0.9912,2659803,119162,NIST_27900,1997,83300,5200,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Northern Rockies
97-46,bedrock,42.7247,-108.8828,2460,1,2.65,0.9906,2708078,131643,NIST_27900,1997,81800,5100,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Northern Rockies
97-47,bedrock,42.7247,-108.8803,2440,1,2.65,0.9929,557840,36797,NIST_27900,1997,67600,4200,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Northern Rockies
97-48,bedrock,42.725,-108.8811,2420,3,2.65,0.9795,538357,37912,NIST_27900,1997,18900,1200,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Northern Rockies
97-49,bedrock,42.7231,-108.8712,2410,1,2.65,0.9891,498414,40687,NIST_27900,1997,17300,1100,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Northern Rockies
97-85,bedrock,42.7228,-108.8786,2350,1,2.65,0.9913,464080,44098,NIST_27900,1997,16800,1100,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Northern Rockies
97-88,bedrock,42.72,-108.8789,2450,2,2.65,0.9855,500321,31270,NIST_27900,1997,17100,1000,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Northern Rockies
BB-1B,bedrock,39.372,-120.4,1990,2,2.75,1,316000,7000,NIST_30500,1997,14400,920,"Fabel D, Harbor J, Dahms D, James A, Elmore D, Horn L, Daley K, Steele C, 2004. Spatial patterns of glacial erosion at a valley scale derived from terrestrial cosmogenic 10Be and 26Al concentrations in rock. Annals of the Association of American Geographers 94, 241-255.",0,Sierra Nevada
PF-05,boulder,41.6809,-118.7167,2440,2,2.7,0.9851,456000,12600,07KNSTD,2017,17557,824,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
PF-08,boulder,41.6821,-118.7223,2441,4,2.7,0.9959,555000,14600,07KNSTD,2017,21120,976,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
PF-09,boulder,41.6824,-118.7222,2441,4.5,2.7,0.9959,549000,14300,07KNSTD,2017,20994,967,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
PF-10,boulder,41.6835,-118.7221,2433,3.5,2.7,0.9958,519000,13400,07KNSTD,2017,19909,914,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
PF-11,boulder,41.6836,-118.7219,2439,5.5,2.7,0.9958,551000,15500,07KNSTD,2017,21244,1004,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
PF-12,boulder,41.6838,-118.7219,2435,3,2.7,0.9958,865000,19800,07KNSTD,2017,32021,1423,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
SRSA-14,boulder,41.6766,-117.5934,2609,5.5,2.7,0.9859,516000,21600,07KNSTD,2017,18144,1026,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
SRSA-15,boulder,41.6765,-117.5935,2614,5,2.7,0.9859,480000,17800,07KNSTD,2017,16846,894,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
SRSA-16,boulder,41.6764,-117.5937,2622,3,2.7,0.9859,508000,21600,07KNSTD,2017,17394,992,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
SRSA-17,boulder,41.6763,-117.5937,2627,5,2.7,0.9859,499000,17900,07KNSTD,2017,17319,905,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
SRSA-18,boulder,41.6764,-117.5934,2623,3,2.7,0.9859,548000,26600,07KNSTD,2017,18655,1152,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
SRSA-21,boulder,41.6753,-117.5931,2648,5,2.7,0.9859,487000,16600,07KNSTD,2017,16703,852,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
SRSA-22,boulder,41.6753,-117.5932,2648,3,2.7,0.9859,503000,22300,07KNSTD,2017,16960,991,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
SRSA-24,boulder,41.6749,-117.5931,2653,3,2.7,0.9859,474000,18900,07KNSTD,2017,15978,880,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
SRSA-25,boulder,41.6749,-117.5932,2656,3.5,2.7,0.9859,448000,14300,07KNSTD,2017,15183,753,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
SRSA-8,boulder,41.6749,-117.5922,2639,3.5,2.7,0.9846,460000,18500,07KNSTD,2017,15750,871,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
SRSA-9,boulder,41.6749,-117.5921,2637,4.5,2.7,0.9846,463000,18000,07KNSTD,2017,15997,869,"Fleming KC, 2019. Cosmogenic 10Be surface exposure dating and numerical modeling of late Pleistocene glaciers and lakes in northwestern Nevada. Ms thesis, North Dakota State University.",NA,Great Basin
138-I,boulder,43.122,-109.639,3231,4,2.6,0.9668,627000,18810,KNSTD,1992,11300,300,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",100,Northern Rockies
139-I,boulder,43.122,-109.639,3231,4,2.6,0.9668,591000,17730,KNSTD,1992,10600,300,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",100,Northern Rockies
140-I,boulder,43.122,-109.639,3231,8,2.6,0.9668,476300,14289,KNSTD,1992,8830,300,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",100,Northern Rockies
328-A,boulder,43.15,-109.641,3340,2,2.6,0.915,650300,19509,KNSTD,1993,11500,300,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",200,Northern Rockies
330-A,boulder,43.15,-109.641,3340,2,2.6,0.915,591000,17730,KNSTD,1993,10500,300,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",200,Northern Rockies
333-I,boulder,43.122,-109.639,3231,3,2.6,0.9668,596600,17898,KNSTD,1993,10600,300,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",100,Northern Rockies
334-I,boulder,43.122,-109.639,3231,7,2.6,0.9668,669700,20091,KNSTD,1993,12300,400,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",150,Northern Rockies
335-I,boulder,43.122,-109.639,3231,8,2.6,0.9668,615700,18471,KNSTD,1993,11400,300,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",60,Northern Rockies
336-I,boulder,43.122,-109.639,3231,3,2.6,0.9668,656600,19698,KNSTD,1993,11700,400,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",200,Northern Rockies
337-I,boulder,43.122,-109.639,3231,9,2.6,0.9668,624700,18741,KNSTD,1993,11700,400,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",150,Northern Rockies
338-I,boulder,43.122,-109.639,3231,5,2.6,0.9668,625100,18753,KNSTD,1993,11300,300,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",80,Northern Rockies
339-I,boulder,43.122,-109.639,3231,4,2.6,0.9668,623900,18717,KNSTD,1993,11200,300,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",10,Northern Rockies
341-O,boulder,43.12,-109.64,3228,8,2.6,0.97,814500,24435,KNSTD,1993,15100,500,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",200,Northern Rockies
343-B,bedrock,43.119,-109.641,3226,4,2.6,0.967,746500,22395,KNSTD,1993,13400,400,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",0,Northern Rockies
344-E,boulder,43.115,-109.633,3247,2.5,2.6,0.97,645400,19362,KNSTD,1993,11500,300,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",60,Northern Rockies
345-B,bedrock,43.115,-109.633,3247,4,2.6,0.97,721200,21636,KNSTD,1993,13000,400,"Gosse JC, Evenson EB, Klein J, Lawn B, Middleton R, 1995a. Precise cosmogenic 10Be measurements in western North America: support for a global Younger Dryas cooling event. Geology 23, 877-880.",0,Northern Rockies
91-003,boulder,42.939,-109.866,2276,14,2.65,1,518000,15540,KNSTD,1991,18100,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-003A,boulder,42.939,-109.866,2276,14,2.65,1,518000,15540,KNSTD,1991,18100,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-004,boulder,42.939,-109.866,2279,5,2.65,1,671000,20130,KNSTD,1991,21700,700,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-009,boulder,42.889,-109.831,2310,6,2.65,0.999,550000,16500,KNSTD,1991,17600,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-010,boulder,42.889,-109.832,2302,4,2.65,1,507000,15210,KNSTD,1991,16000,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-013,boulder,42.888,-109.822,2302,6,2.65,0.996,594000,17820,KNSTD,1991,19100,600,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-020,boulder,42.921,-109.801,2352,5,2.65,1,503000,15090,KNSTD,1991,15500,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-024,boulder,42.925,-109.78,2323,10,2.65,0.997,502000,15060,KNSTD,1991,16500,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-026,boulder,42.924,-109.781,2342,4,2.65,0.997,468000,14040,KNSTD,1991,14400,400,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-028-b,bedrock,42.936,-109.772,2378,5,2.65,0.993,408000,12240,KNSTD,1991,12400,400,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",0,Northern Rockies
91-029,boulder,42.887,-109.837,2299,5,2.65,1,548000,16440,KNSTD,1991,17500,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-030,boulder,42.891,-109.831,2305,5,2.65,0.999,454000,13620,KNSTD,1991,14400,400,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-031,boulder,42.89,-109.814,2311,5,2.65,0.998,615000,18450,KNSTD,1991,19500,600,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-032,boulder,42.891,-109.814,2311,5,2.65,0.996,685000,20550,KNSTD,1991,21700,700,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-033,boulder,42.892,-109.812,2302,5,2.65,0.997,530000,15900,KNSTD,1991,16900,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-034,boulder,42.887,-109.832,2299,6,2.65,1,4160000,124800,KNSTD,1991,138000,4000,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-035,boulder,42.888,-109.816,2262,2,2.65,1,625000,18750,KNSTD,1991,19900,600,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-035-1,boulder,42.888,-109.816,2262,2,2.65,1,625000,18750,KNSTD,1991,19900,600,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
91-039-b,bedrock,42.935,-109.77,2352,2,2.65,0.997,509000,15270,KNSTD,1991,15300,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",0,Northern Rockies
91-041,boulder,42.909,-109.806,2360,5,2.65,0.999,540000,16200,KNSTD,1991,16600,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-105-2,boulder,42.902,-109.851,2290,3,2.65,1,586000,17580,KNSTD,1992,18500,600,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-106-2,boulder,42.895,-109.849,2271,2,2.65,1,602000,18060,KNSTD,1992,19100,600,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-107-1,boulder,42.896,-109.849,2271,2,2.65,1,5.00E+05,15000,KNSTD,1992,15800,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-108-1,boulder,42.898,-109.854,2274,2,2.65,0.999,676000,20280,KNSTD,1992,21400,600,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-110-1,boulder,42.901,-109.851,2287,4,2.65,1,589000,17670,KNSTD,1992,18800,600,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-117,boulder,42.914,-109.789,2357,3,2.65,0.999,645000,19350,KNSTD,1992,19500,600,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-119,boulder,42.906,-109.772,2319,5,2.65,0.999,609000,18270,KNSTD,1992,19200,600,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-123,boulder,42.919,-109.787,2369,3,2.65,1,534000,16020,KNSTD,1992,16000,400,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-124,boulder,42.913,-109.784,2337,5,2.65,1,503000,15090,KNSTD,1992,15700,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-127,boulder,42.914,-109.775,2335,4,2.65,0.999,504000,15120,KNSTD,1992,15600,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-129,boulder,42.919,-109.762,2390,5,2.65,0.998,561000,16830,KNSTD,1992,16900,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-130,boulder,42.923,-109.767,2341,5,2.65,0.999,541000,16230,KNSTD,1992,16800,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-155,boulder,42.921,-109.786,2375,2.5,2.65,1,535000,16050,KNSTD,1992,15900,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
92-156,boulder,42.92,-109.778,2341,5,2.65,1,528000,15840,KNSTD,1992,16400,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
93-306,boulder,42.89,-109.837,2268,3,2.65,0.994,681000,20430,KNSTD,1993,21800,700,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
93-308,boulder,42.891,-109.841,2264,5,2.65,1,921000,27630,KNSTD,1993,30200,900,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",NA,Northern Rockies
93-346-b,bedrock,43.05,-109.662,3146,5,2.65,0.991,842000,25260,KNSTD,1993,15900,500,"Gosse JC, Klein J, Evenson EB, Lawn B, Middleton R, 1995b. Beryllium-10 dating of the duration and retreat of the last Pinedale glacial sequence. Science 268, 1329-1333.",0,Northern Rockies
Bakers-Bridge,bedrock,37.46771,-107.79045,2155,0.7,2.7,0.894,359300,9000,KNSTD,2005,17100,1300,"Guido ZS, Ward DJ, Anderson RS, 2007. Pacing the post-last glacial maximum demise of the Animas Valley glacier and the San Juan Mountain ice cap, Colorado. Geology 35, 739-742.",0,Colorado Plateau
